year,global,n_hemi,s_hemi,tropics
1994,0.208,0.28,0.138,0.159
1995,0.325,0.47,0.179,0.285
1996,0.183,0.175,0.187,0.193
1997,0.39,0.456,0.323,0.368
1998,0.539,0.614,0.465,0.564
1999,0.306,0.408,0.204,0.158
2000,0.294,0.404,0.184,0.17
2001,0.441,0.558,0.323,0.35
2002,0.496,0.593,0.398,0.469
2003,0.505,0.642,0.369,0.507
2004,0.447,0.604,0.289,0.43
2005,0.545,0.724,0.367,0.487
2006,0.506,0.676,0.336,0.449
2007,0.491,0.713,0.27,0.365
2008,0.395,0.569,0.22,0.274
2009,0.506,0.594,0.413,0.541
2010,0.56,0.74,0.379,0.535
2011,0.425,0.575,0.275,0.243
2012,0.47,0.627,0.312,0.346
2013,0.514,0.674,0.352,0.404
2014,0.579,0.779,0.381,0.516
2015,0.763,1.033,0.497,0.737
2016,0.797,1.064,0.531,0.763
2017,0.677,0.922,0.434,0.563
2018,0.597,0.789,0.405,0.473
2019,0.736,0.972,0.502,0.656
